Right foot rotation,Left foot rotation
-5.91265,-4.54101
-5.92178,-4.55618
-5.92338,-4.57082
-5.9184,-4.58542
-5.90797,-4.60038
-5.89341,-4.61604
-5.87614,-4.63264
-5.85761,-4.65037
-5.83918,-4.66939
-5.82205,-4.68978
-5.8072,-4.71159
-5.79533,-4.73482
-5.78689,-4.75937
-5.78205,-4.7851
-5.78076,-4.81174
-5.78276,-4.83897
-5.78763,-4.86645
-5.79484,-4.8938
-5.8038,-4.92065
-5.8139,-4.94666
-5.82454,-4.97151
-5.83517,-4.99491
-5.84529,-5.01662
-5.85448,-5.03642
-5.86244,-5.05415
-5.86895,-5.06967
-5.87389,-5.08286
-5.87722,-5.09364
-5.87897,-5.10197
-5.87919,-5.10787
-5.878,-5.11142
-5.87555,-5.11273
-5.87202,-5.11191
-5.86757,-5.10908
-5.86238,-5.1044
-5.85658,-5.09802
-5.85026,-5.09017
-5.84347,-5.08117
-5.83624,-5.07146
-5.82853,-5.06155
-5.82029,-5.05208
-5.81143,-5.04371
-5.80185,-5.03717
-5.79146,-5.03319
-5.78017,-5.0324
-5.76793,-5.03533
-5.7547,-5.04234
-5.74049,-5.05356
-5.72537,-5.06892
-5.70949,-5.08818
-5.69301,-5.11102
-5.6762,-5.13712
-5.65935,-5.16622
-5.64278,-5.19823
-5.62688,-5.23321
-5.61204,-5.27135
-5.59866,-5.31288
-5.58709,-5.358
-5.57761,-5.40666
-5.57041,-5.45853
-5.56553,-5.51293
-5.56293,-5.56887
-5.56244,-5.62508
-5.56385,-5.68011
-5.56685,-5.73244
-5.57109,-5.7806
-5.57617,-5.82324
-5.58169,-5.85918
-5.58723,-5.88747
-5.59241,-5.9074
-5.59687,-5.91852
-5.60035,-5.92066
-5.60265,-5.91401
-5.60366,-5.89915
-5.60335,-5.87699
-5.60173,-5.84871
-5.59887,-5.81566
-5.59483,-5.77924
-5.58972,-5.74082
-5.58362,-5.70168
-5.57668,-5.66297
-5.56909,-5.62567
-5.56107,-5.59063
-5.55294,-5.55852
-5.545,-5.52983
-5.5376,-5.50492
-5.53102,-5.48401
-5.52547,-5.46717
-5.52107,-5.45434
-5.51778,-5.44533
-5.51544,-5.43982
-5.51379,-5.43736
-5.51249,-5.43738
-5.51117,-5.43918
-5.50943,-5.44196
-5.50692,-5.44485
-5.5033,-5.4469
-5.49831,-5.44717
-5.49176,-5.4447
-5.48355,-5.43855
-5.47366,-5.42783
-5.46215,-5.41169
-5.44916,-5.38939
-5.43486,-5.36028
-5.41945,-5.32388
-5.40317,-5.27986
-5.38623,-5.22811
-5.36884,-5.16868
-5.35124,-5.10186
-5.33367,-5.02813
-5.31641,-4.94816
-5.29981,-4.86283
-5.28425,-4.77323
-5.27022,-4.68056
-5.25822,-4.58616
-5.24877,-4.49143
-5.24239,-4.39779
-5.23956,-4.30656
-5.24077,-4.21894
-5.24646,-4.13597
-5.25705,-4.05846
-5.27285,-3.98701
-5.29405,-3.92201
-5.32065,-3.86369
-5.35251,-3.81214
-5.38928,-3.76737
-5.43047,-3.72933
-5.47542,-3.69796
-5.52333,-3.67316
-5.57324,-3.65481
-5.62404,-3.64272
-5.67455,-3.63661
-5.72347,-3.63611
-5.76952,-3.64068
-5.81142,-3.64959
-5.84802,-3.6619
-5.87827,-3.67648
-5.90128,-3.69195
-5.91632,-3.70679
-5.92284,-3.71936
-5.92042,-3.72796
-5.90883,-3.73095
-5.88797,-3.72684
-5.85789,-3.71441
-5.81883,-3.69274
-5.7712,-3.66132
-5.71563,-3.62003
-5.65298,-3.56907
-5.58432,-3.50901
-5.51098,-3.44068
-5.43447,-3.36522
-5.35657,-3.28397
-5.27923,-3.19848
-5.2046,-3.11044
-5.13501,-3.02168
-5.07287,-2.93409
-5.02065,-2.84968
-4.98079,-2.77055
-4.95558,-2.69883
-4.94713,-2.63675
-4.95728,-2.58653
-4.98755,-2.55031
-5.03903,-2.53006
-5.11237,-2.52742
-5.20765,-2.54354
-5.32429,-2.57898
-5.46101,-2.63363
-5.61578,-2.70669
-5.78578,-2.7967
-5.96742,-2.90153
-6.15648,-3.01857
-6.34815,-3.14475
-6.53724,-3.27677
-6.71832,-3.41125
-6.88598,-3.54497
-7.03494,-3.67499
